"age","Australia_Male","Austria_Male","Belgium_Male","Bulgaria_Male","Canada_Male","Czech Republic_Male","Denmark_Male","Estonia_Male","Finland_Male","France_Male","Germany_Male","Hungary_Male","Ireland_Male","Italy_Male","Japan_Male","Latvia_Male","Lithuania_Male","Luxembourg_Male","Netherlands_Male","Poland_Male","Portugal_Male","Russia_Male","Slovakia_Male","Slovenia_Male","Spain_Male","Sweden_Male","United Kingdom_Male","United States_Male","Australia_Female","Austria_Female","Belgium_Female","Bulgaria_Female","Canada_Female","Czech Republic_Female","Denmark_Female","Estonia_Female","Finland_Female","France_Female","Germany_Female","Hungary_Female","Ireland_Female","Italy_Female","Japan_Female","Latvia_Female","Lithuania_Female","Luxembourg_Female","Netherlands_Female","Poland_Female","Portugal_Female","Russia_Female","Slovakia_Female","Slovenia_Female","Spain_Female","Sweden_Female","United Kingdom_Female","United States_Female"
75,72940,66524,66045,45010,70482,55504,64636,42856,63807,67352,66324,42725,67102,71816,72014,37430,37833,68855,69847,48147,64805,27611,47110,60810,69308,72559,68477,63235,83015,81469,79714,68574,80243,75482,75464,74274,81612,83418,80768,68533,79236,83992,86577,68302,70469,80265,80168,73979,81875,60888,72051,80286,85395,81333,78568,74775
76,70772,64118,63578,42059,68169,52636,61743,40318,61419,65192,63795,39975,64423,69343,69753,34843,35448,66483,67042,45455,62279,25371,44401,57825,66902,70126,66023,60924,81493,79749,78067,65834,78591,73158,73247,72120,80105,82079,79024,66128,77358,82452,85397,65943,68310,78872,78514,71827,80106,58229,69548,78382,83974,79688,76705,72857
77,68358,61350,60897,39329,65647,49729,58912,37742,58735,62825,61074,37315,61709,66756,67243,32180,33021,62809,64146,42763,59554,23120,41290,54767,64314,67455,63326,58489,79884,77782,76219,62863,76795,70651,70894,69544,78462,80622,77060,63711,75277,80765,84049,63334,66038,76488,76562,69473,78194,55324,66931,76302,82414,77913,74666,70804
78,65671,58523,57943,36406,62923,46576,55784,34759,55970,60351,58079,34570,58510,63893,64615,29538,30707,60790,61158,39954,56663,20886,38239,52056,61580,64629,60493,55898,78064,75719,74223,59682,74814,67871,68222,67087,76440,79012,74852,60855,72949,78840,82569,60487,63432,74485,74390,66928,76048,52182,63927,74017,80637,75893,72439,68600
79,62878,55379,54840,33456,60056,43446,52399,32197,52967,57712,54908,31894,55102,60836,61744,26977,28197,58308,57839,37094,53634,18794,35096,48811,58626,61540,57530,53140,76023,73513,71992,56086,72653,64750,65161,64031,74280,77210,72384,57805,70114,76689,80898,57411,60484,72003,72064,64092,73659,49005,60584,71347,78615,73599,69978,66251
80,59872,52376,51589,30619,57044,40261,48984,29286,49851,54871,51632,29094,51747,57581,58683,24470,25859,54524,54421,34220,50227,16753,32181,45676,55562,58384,54355,50341,73729,70951,69420,52412,70319,61510,62207,61322,71817,75198,69673,54663,67208,74326,79105,54132,57472,69852,69566,61026,70906,45596,57191,68402,76267,71155,67244,63746
81,56603,48921,48295,27515,53891,36831,45472,26587,46482,51878,48132,26395,47737,54167,55393,22096,23674,51309,50598,31309,46645,14918,29219,42126,52236,54734,50896,47390,71123,68071,66546,48521,67753,57991,58988,57960,68902,72952,66668,51202,64113,71688,77004,50666,54223,67097,66681,57705,67588,42100,53413,65130,73586,68385,64290,61086
82,53165,45488,44848,24643,50471,33455,41935,23949,43076,48670,44545,23700,44016,50471,51992,19757,21290,47793,46770,28364,42964,13122,25970,38794,48744,51054,47381,44322,68423,65006,63422,44386,64925,54156,55785,54291,65952,70389,63413,47638,60674,68720,74757,47070,50846,64053,63491,54172,64134,38423,49415,61808,70665,65492,61163,58251
83,49594,41906,41138,21646,47065,30035,38093,21430,39713,45317,40870,20956,39664,46587,48459,17432,18685,43996,42809,25487,39161,11472,22857,35727,45071,47245,43693,41113,65258,61431,60001,39995,61926,50044,52342,50468,62684,67538,59829,43765,57038,65471,72232,43266,47059,60717,59992,50378,60267,34787,45219,57896,67377,62222,57802,55196
84,45722,38142,37281,18664,43422,26753,34291,19256,36221,41873,37211,18496,35747,42555,44744,15301,16484,39956,38833,22644,35364,9910,19742,31664,41420,43226,39937,37905,61844,57585,56315,35627,58772,45705,48734,46679,58914,64430,55969,39945,53140,61907,69455,39387,43004,57090,56385,46376,56084,31152,40810,53771,63807,58602,54170,52024
85,41850,34411,33326,16036,39660,23443,30443,16705,32463,38265,33455,16119,31667,38477,40913,13279,14156,35729,34814,19878,31622,8493,17101,28355,37619,39082,36115,34611,58211,53462,52356,31371,55271,41294,45078,42713,54917,60986,51754,36088,49064,58078,66357,35517,39032,53187,52469,42261,51842,27580,36310,49420,59915,54677,50398,48670
86,37742,30561,29481,13522,35880,20132,26930,14376,28861,34516,29696,13822,27908,34364,37000,11439,12073,31390,30803,17275,27865,7136,14598,24786,33780,34756,32271,31282,54306,48981,48134,27020,51640,36779,41261,38483,50579,57141,47357,32163,44832,53868,62968,31612,34919,49035,48491,37963,47429,23967,31812,44638,55707,50524,46478,45141
87,33812,26679,25572,11386,32028,16968,23309,12280,25241,30694,26041,11696,24360,30315,33110,9807,10296,27033,26898,14786,24120,5982,12303,21608,29942,30629,28518,27928,50086,44414,43615,23013,47840,32212,37233,34015,46453,52973,42791,28329,40399,49426,59256,27697,30929,44672,44011,33595,43007,20674,27579,39951,51167,46229,42404,41461
88,29755,23036,21911,9334,28170,13890,19866,10244,21767,26894,22376,9779,20645,26318,29269,8280,8664,22762,23197,12370,20786,4926,10133,18695,26148,26353,24765,24598,45722,39534,39079,19130,43791,27679,33139,29666,41512,48494,37937,24497,35980,44644,55250,23833,26840,40155,39568,29411,38297,17519,23343,35368,46537,41442,38224,37640
89,25782,19494,18425,7520,24379,11307,16577,8494,18137,23241,18986,8203,17340,22593,25530,6794,7218,18691,19582,10322,17547,3952,8269,15508,22533,22301,21305,21362,41135,34847,34567,15629,39645,23602,29340,25558,36761,43834,33209,21076,31746,40017,51038,20256,22936,35553,35086,25389,33851,14593,19669,30944,41661,36776,34108,33783
90,21947,15974,15051,5673,20683,8814,13624,6934,15086,19551,15533,6696,14513,18638,21870,5393,5939,14926,16153,8341,14366,3122,6580,12557,18934,18494,17814,18203,36327,29841,29833,12283,35158,19358,25273,21623,31788,38897,28212,17620,28040,34762,46467,16817,19251,30950,30258,21373,29135,11900,16024,26423,36570,31887,29763,29915
91,18447,13071,12389,4358,17354,6971,10975,5567,12411,16511,12999,5678,12207,15720,18501,4193,4725,11560,13181,6803,11885,2401,5354,10157,15749,15084,14897,15299,31696,25427,25861,9832,30914,15960,21454,17933,27276,34478,24304,15137,24140,30487,41984,13672,16178,26439,25867,17910,24948,9413,13235,22313,31745,27479,25863,26154
92,15176,10498,10021,3261,14088,5296,8419,4391,9901,13496,10299,4721,10204,12733,15336,3189,3695,8659,10403,5427,9527,1831,4256,8048,12810,11973,12122,12557,27156,21262,21705,7461,26724,12567,18042,14553,22718,29831,20198,12571,20757,25798,37285,10866,13063,22117,21573,14660,20905,7357,10470,18473,26911,23132,21995,22443
93,12101,8021,7575,2469,11301,3842,6435,3401,7674,10787,7906,3803,8380,10142,12505,2369,2835,6257,8007,4171,7392,1377,3248,6238,10186,9249,9570,10084,22736,17070,17610,5735,22513,9540,14917,11535,18383,25342,16219,10076,17409,21553,32594,8427,10305,18079,17761,11599,17091,5693,8123,14967,22423,18863,18189,18916
94,9420,6314,5734,1799,8800,2801,4726,2582,5905,8505,6002,3039,6495,7812,9929,1717,2131,4351,6027,3120,5607,1003,2431,4723,7946,6849,7399,7909,18666,13579,14014,4075,18828,7079,11870,8914,14745,21340,12887,7968,14553,17504,27896,6366,7928,14409,14217,9003,13577,4258,6152,11847,18329,15028,14825,15603
95,7140,4671,4097,1266,6795,2001,3440,1921,4380,6303,4326,2296,4998,5889,7730,1213,1569,2905,4433,2225,4020,700,1784,3489,6037,4864,5543,6037,14887,10360,10887,2889,15399,5066,9123,6703,11590,17040,9740,6036,11668,13920,23465,4677,5937,11172,10994,6700,10538,3074,4541,9144,14649,11603,11761,12596
96,5298,3347,2886,878,5066,1339,2443,1399,3132,4636,3093,1735,3770,4302,5877,834,1129,1859,3182,1608,2909,493,1281,2511,4473,3418,4078,4534,11634,7692,8245,2003,12244,3552,6938,4896,8732,13449,7237,4529,9155,10749,19354,3336,4322,8407,8314,4930,8058,2182,3263,6870,11348,8749,9138,9972
97,3819,2327,1969,594,3674,867,1685,997,2173,3310,2147,1289,2786,3054,4356,558,794,1139,2219,1135,2048,340,900,1758,3225,2323,2919,3317,8837,5526,6058,1348,9490,2407,5134,3468,6371,10316,5209,3316,7020,8059,15589,2307,3053,6128,6097,3522,5998,1507,2280,5016,8536,6388,6918,7705
98,2671,1568,1300,392,2587,543,1128,694,1461,2290,1444,941,2014,2103,3144,363,546,668,1502,781,1402,230,618,1197,2260,1524,2029,2360,6511,3833,4311,879,7157,1574,3690,2379,4494,7674,3624,2366,5253,5856,12235,1545,2090,4318,4329,2440,4338,1011,1547,3552,6222,4507,5093,5800
99,1809,1022,830,252,1766,328,732,471,951,1533,940,675,1424,1404,2206,229,366,375,985,524,932,151,415,791,1536,964,1369,1631,4645,2563,2966,556,5242,992,2573,1578,3058,5524,2434,1644,3831,4115,9338,1001,1384,2936,2970,1637,3044,659,1018,2437,4387,3068,3640,4247
100,1186,645,511,157,1168,192,460,313,599,992,592,475,983,907,1503,140,239,201,626,342,601,97,272,508,1013,587,896,1094,3201,1650,1970,340,3722,602,1737,1011,2005,3841,1575,1111,2719,2792,6916,626,887,1923,1966,1062,2070,416,649,1618,2987,2011,2523,3021
101,751,393,304,96,748,108,280,202,364,620,361,328,663,567,994,83,152,103,385,217,376,61,174,316,646,345,568,711,2129,1022,1262,201,2559,352,1135,625,1265,2575,982,730,1876,1827,4961,378,549,1212,1254,666,1362,255,401,1038,1960,1268,1693,2084
102,460,231,174,57,463,59,165,127,214,374,212,222,436,343,637,48,94,51,229,134,228,37,109,190,399,195,348,447,1364,608,778,115,1700,198,717,373,767,1662,589,465,1257,1151,3441,221,328,735,770,403,867,151,240,643,1239,768,1098,1392
103,272,131,97,33,277,31,94,78,121,218,121,147,279,200,396,27,57,24,132,81,134,22,66,111,239,106,207,273,842,347,462,64,1091,107,437,215,447,1032,339,288,817,698,2303,124,189,428,455,236,533,87,139,384,753,447,689,900
104,155,72,52,18,160,16,52,47,67,122,66,95,175,113,238,15,34,11,73,47,76,13,39,63,138,56,119,161,500,191,264,34,675,56,257,119,250,616,188,173,515,407,1486,68,105,239,259,133,316,49,78,222,440,250,417,563
105,85,38,27,10,89,8,28,27,35,66,35,61,106,62,138,8,19,5,39,27,42,7,23,34,77,28,66,92,285,101,145,18,403,28,146,64,135,353,100,101,314,228,923,35,56,129,142,72,181,26,42,123,247,134,244,340
106,45,20,13,5,48,4,14,15,18,35,18,38,63,33,78,4,11,2,21,15,22,4,13,18,42,14,35,51,157,51,77,9,232,14,80,33,70,194,52,57,186,123,552,18,29,67,75,38,100,14,22,66,134,69,137,198
107,23,10,6,3,25,2,7,9,9,18,9,23,36,17,42,2,6,1,10,8,12,2,7,9,22,7,18,27,83,25,39,4,128,6,43,16,35,103,26,31,106,64,317,9,15,33,38,19,54,7,11,34,70,34,75,112
108,12,5,3,1,13,1,3,5,4,9,4,14,20,8,22,1,3,0,5,4,6,1,4,5,11,3,9,14,42,12,19,2,69,3,22,8,17,52,12,17,59,32,176,4,7,16,18,10,28,3,6,17,35,16,39,61
109,6,2,1,1,6,0,2,2,2,4,2,8,11,4,11,0,2,0,2,2,3,1,2,2,5,1,5,7,21,5,9,1,35,1,11,4,8,26,6,9,32,15,93,2,3,7,9,5,14,2,3,8,17,8,20,32
110,3,1,1,0,3,0,1,1,1,2,1,5,6,2,6,0,1,0,1,1,1,0,1,1,3,1,2,3,10,2,4,0,18,1,5,2,3,12,3,4,16,7,48,1,2,3,4,2,7,1,1,4,8,3,10,16
